activity_description,label,duration_minutes,user_id
Solving programming exercises,Utilizing Time for Knowledge Development,34,46
Chatting with friends on messaging apps,Wasting Time,88,36
Watching cat videos on YouTube,Wasting Time,103,65
Reading a scientific research paper,Wasting Time,60,36
Watching TV shows,Utilizing Time for Knowledge Development,5,99
Solving programming exercises,Utilizing Time for Knowledge Development,75,58
Checking email,Utilizing Time for Knowledge Development,45,51
Participating in an online quiz,Utilizing Time for Knowledge Development,38,30
Taking notes from a lecture video,Wasting Time,11,89
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,77,58
Participating in an online quiz,Wasting Time,41,88
Reviewing course lecture slides,Utilizing Time for Knowledge Development,109,59
Participating in an online quiz,Wasting Time,16,24
Reading a scientific research paper,Wasting Time,34,12
Watching TV shows,Utilizing Time for Knowledge Development,24,100
Browsing Wikipedia for history facts,Wasting Time,72,24
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,18,98
Reviewing course lecture slides,Wasting Time,97,18
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,99,44
Checking email,Utilizing Time for Knowledge Development,36,23
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,106,21
Solving programming exercises,Utilizing Time for Knowledge Development,39,47
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,89,3
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,8,97
Watching Khan Academy math tutorial,Wasting Time,105,45
Watching Khan Academy math tutorial,Wasting Time,25,63
Watching TV shows,Utilizing Time for Knowledge Development,47,57
Online shopping,Utilizing Time for Knowledge Development,109,77
Coding a personal project,Utilizing Time for Knowledge Development,34,24
Chatting with friends on messaging apps,Wasting Time,65,58
Taking notes from a lecture video,Utilizing Time for Knowledge Development,29,49
Reading a scientific research paper,Utilizing Time for Knowledge Development,15,22
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,45,19
Watching Khan Academy math tutorial,Wasting Time,43,34
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,39,100
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,33,50
Browsing Wikipedia for history facts,Wasting Time,82,65
Watching TV shows,Utilizing Time for Knowledge Development,109,74
Checking email,Wasting Time,89,63
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,92,65
Scrolling through social media feeds,Utilizing Time for Knowledge Development,45,58
Reviewing course lecture slides,Utilizing Time for Knowledge Development,82,31
Participating in an online quiz,Utilizing Time for Knowledge Development,19,53
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,40,62
Listening to an audiobook on a relevant topic,Wasting Time,18,11
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,63,24
Online shopping,Wasting Time,53,35
Watching TV shows,Wasting Time,39,21
Reviewing course lecture slides,Utilizing Time for Knowledge Development,54,47
Playing a video game,Wasting Time,83,76
Writing an essay for a class assignment,Wasting Time,102,85
Reviewing course lecture slides,Wasting Time,58,24
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,59,11
Solving programming exercises,Utilizing Time for Knowledge Development,60,57
Watching TV shows,Wasting Time,57,94
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,12,79
Online shopping,Utilizing Time for Knowledge Development,41,65
Scrolling through social media feeds,Utilizing Time for Knowledge Development,41,96
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,80,63
Playing a video game,Utilizing Time for Knowledge Development,96,16
Reading a scientific research paper,Wasting Time,22,62
Solving programming exercises,Utilizing Time for Knowledge Development,53,89
Playing a video game,Utilizing Time for Knowledge Development,71,61
Participating in an online quiz,Utilizing Time for Knowledge Development,116,62
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,54,42
Checking email,Utilizing Time for Knowledge Development,50,95
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,93,41
Online shopping,Wasting Time,102,18
Solving programming exercises,Wasting Time,110,81
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,95,77
Listening to an audiobook on a relevant topic,Wasting Time,16,82
Watching Khan Academy math tutorial,Wasting Time,49,7
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,84,95
Taking notes from a lecture video,Wasting Time,87,51
Playing a video game,Utilizing Time for Knowledge Development,95,42
Watching cat videos on YouTube,Wasting Time,42,73
Taking notes from a lecture video,Wasting Time,31,90
Checking email,Utilizing Time for Knowledge Development,90,57
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,70,70
Checking email,Utilizing Time for Knowledge Development,50,3
Watching Khan Academy math tutorial,Wasting Time,85,20
Taking notes from a lecture video,Utilizing Time for Knowledge Development,38,74
Playing online crossword puzzles,Utilizing Time for Knowledge Development,119,53
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,97,2
Participating in an online quiz,Utilizing Time for Knowledge Development,42,5
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,21,57
Participating in an online quiz,Wasting Time,54,6
Writing an essay for a class assignment,Wasting Time,88,34
Playing a video game,Wasting Time,79,64
Scrolling through social media feeds,Wasting Time,79,35
Taking notes from a lecture video,Wasting Time,103,66
Playing online crossword puzzles,Utilizing Time for Knowledge Development,27,22
Playing a video game,Utilizing Time for Knowledge Development,51,35
Playing online crossword puzzles,Utilizing Time for Knowledge Development,84,84
Coding a personal project,Utilizing Time for Knowledge Development,81,23
Solving programming exercises,Utilizing Time for Knowledge Development,39,10
Playing online crossword puzzles,Utilizing Time for Knowledge Development,14,57
Browsing Wikipedia for history facts,Wasting Time,94,22
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,47,75
Watching TV shows,Wasting Time,36,62
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,101,30
Playing a video game,Utilizing Time for Knowledge Development,101,57
Coding a personal project,Utilizing Time for Knowledge Development,86,19
Scrolling through social media feeds,Wasting Time,104,91
Scrolling through social media feeds,Wasting Time,47,62
Checking email,Wasting Time,100,95
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,62,30
Chatting with friends on messaging apps,Wasting Time,87,10
Reviewing course lecture slides,Wasting Time,108,38
Checking email,Utilizing Time for Knowledge Development,84,74
Checking email,Wasting Time,75,5
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,92,68
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,63,77
Coding a personal project,Utilizing Time for Knowledge Development,50,99
Playing online crossword puzzles,Wasting Time,23,49
Playing online crossword puzzles,Utilizing Time for Knowledge Development,99,8
Watching TV shows,Utilizing Time for Knowledge Development,48,2
Solving programming exercises,Utilizing Time for Knowledge Development,48,25
Taking notes from a lecture video,Utilizing Time for Knowledge Development,99,29
Watching TV shows,Utilizing Time for Knowledge Development,28,19
Solving programming exercises,Wasting Time,117,18
Watching TV shows,Wasting Time,120,73
Playing online crossword puzzles,Utilizing Time for Knowledge Development,78,89
Reading a scientific research paper,Utilizing Time for Knowledge Development,88,42
Playing a video game,Wasting Time,13,27
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,95,56
Participating in a group discussion on the course forum,Wasting Time,86,53
Solving programming exercises,Utilizing Time for Knowledge Development,5,40
Reviewing course lecture slides,Utilizing Time for Knowledge Development,82,74
Reviewing course lecture slides,Wasting Time,22,8
Solving programming exercises,Utilizing Time for Knowledge Development,105,36
Solving programming exercises,Wasting Time,56,72
Scrolling through social media feeds,Utilizing Time for Knowledge Development,37,83
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,73,97
Reading a scientific research paper,Wasting Time,104,64
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,59,87
Playing online crossword puzzles,Utilizing Time for Knowledge Development,113,15
Taking notes from a lecture video,Utilizing Time for Knowledge Development,108,96
Scrolling through social media feeds,Utilizing Time for Knowledge Development,109,58
Taking notes from a lecture video,Utilizing Time for Knowledge Development,30,41
Participating in an online quiz,Utilizing Time for Knowledge Development,17,55
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,74,11
Watching TV shows,Utilizing Time for Knowledge Development,89,94
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,36,66
Reading a scientific research paper,Wasting Time,37,74
Watching TV shows,Utilizing Time for Knowledge Development,103,78
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,62,87
Watching cat videos on YouTube,Wasting Time,55,45
Online shopping,Wasting Time,109,40
Checking email,Utilizing Time for Knowledge Development,49,18
Taking notes from a lecture video,Utilizing Time for Knowledge Development,114,97
Taking notes from a lecture video,Utilizing Time for Knowledge Development,109,92
Scrolling through social media feeds,Wasting Time,36,47
Taking notes from a lecture video,Utilizing Time for Knowledge Development,45,48
Participating in an online quiz,Utilizing Time for Knowledge Development,104,39
Solving programming exercises,Utilizing Time for Knowledge Development,114,50
Participating in an online quiz,Utilizing Time for Knowledge Development,47,73
Checking email,Utilizing Time for Knowledge Development,105,18
Watching cat videos on YouTube,Wasting Time,119,85
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,120,36
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,80,84
Scrolling through social media feeds,Utilizing Time for Knowledge Development,20,68
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,9,31
Watching TV shows,Wasting Time,88,20
Listening to an audiobook on a relevant topic,Wasting Time,34,40
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,45,79
Online shopping,Wasting Time,11,45
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,80,83
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,79,69
Checking email,Utilizing Time for Knowledge Development,27,95
Online shopping,Utilizing Time for Knowledge Development,19,55
Listening to an audiobook on a relevant topic,Wasting Time,52,84
Participating in an online quiz,Utilizing Time for Knowledge Development,113,89
Playing online crossword puzzles,Utilizing Time for Knowledge Development,15,100
Writing an essay for a class assignment,Wasting Time,84,3
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,25,25
Listening to an audiobook on a relevant topic,Wasting Time,74,5
Participating in an online quiz,Wasting Time,43,60
Checking email,Utilizing Time for Knowledge Development,30,40
Coding a personal project,Utilizing Time for Knowledge Development,101,57
Taking notes from a lecture video,Wasting Time,101,55
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,29,70
Reading a scientific research paper,Utilizing Time for Knowledge Development,97,9
Participating in an online quiz,Utilizing Time for Knowledge Development,76,36
Participating in a group discussion on the course forum,Wasting Time,82,96
Online shopping,Wasting Time,27,69
Solving programming exercises,Utilizing Time for Knowledge Development,52,13
Chatting with friends on messaging apps,Wasting Time,43,3
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,26,71
Watching TV shows,Utilizing Time for Knowledge Development,81,34
Scrolling through social media feeds,Wasting Time,25,37
Playing a video game,Wasting Time,67,54
Solving programming exercises,Utilizing Time for Knowledge Development,29,14
Coding a personal project,Wasting Time,34,29
Playing online crossword puzzles,Utilizing Time for Knowledge Development,95,37
Playing online crossword puzzles,Utilizing Time for Knowledge Development,43,33
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,37,18
Coding a personal project,Utilizing Time for Knowledge Development,72,53
Online shopping,Wasting Time,108,16
Playing online crossword puzzles,Wasting Time,110,4
Solving programming exercises,Wasting Time,10,5
Scrolling through social media feeds,Utilizing Time for Knowledge Development,97,48
Listening to an audiobook on a relevant topic,Wasting Time,60,16
Online shopping,Utilizing Time for Knowledge Development,47,6
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,88,68
Watching TV shows,Utilizing Time for Knowledge Development,57,86
Coding a personal project,Utilizing Time for Knowledge Development,30,26
Scrolling through social media feeds,Utilizing Time for Knowledge Development,19,6
Coding a personal project,Utilizing Time for Knowledge Development,67,30
Online shopping,Utilizing Time for Knowledge Development,76,40
Scrolling through social media feeds,Utilizing Time for Knowledge Development,91,93
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,94,49
Taking notes from a lecture video,Utilizing Time for Knowledge Development,21,82
Online shopping,Utilizing Time for Knowledge Development,35,80
Participating in an online quiz,Utilizing Time for Knowledge Development,91,5
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,117,64
Watching cat videos on YouTube,Wasting Time,51,7
Reviewing course lecture slides,Wasting Time,59,72
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,101,43
Playing a video game,Utilizing Time for Knowledge Development,50,89
Watching TV shows,Utilizing Time for Knowledge Development,93,88
Solving programming exercises,Utilizing Time for Knowledge Development,112,14
Taking notes from a lecture video,Wasting Time,98,34
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,73,11
Coding a personal project,Wasting Time,75,33
Reading a scientific research paper,Utilizing Time for Knowledge Development,88,70
Scrolling through social media feeds,Utilizing Time for Knowledge Development,11,35
Solving programming exercises,Wasting Time,77,12
Playing online crossword puzzles,Wasting Time,26,68
Solving programming exercises,Utilizing Time for Knowledge Development,76,20
Solving programming exercises,Utilizing Time for Knowledge Development,21,11
Participating in an online quiz,Utilizing Time for Knowledge Development,70,76
Checking email,Wasting Time,93,31
Participating in an online quiz,Utilizing Time for Knowledge Development,28,81
Playing a video game,Wasting Time,22,91
Solving programming exercises,Utilizing Time for Knowledge Development,34,63
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,65,86
Online shopping,Utilizing Time for Knowledge Development,76,70
Reviewing course lecture slides,Utilizing Time for Knowledge Development,117,98
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,103,27
Taking notes from a lecture video,Utilizing Time for Knowledge Development,25,9
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,60,30
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,29,66
Writing an essay for a class assignment,Wasting Time,106,80
Playing a video game,Utilizing Time for Knowledge Development,114,24
Playing online crossword puzzles,Utilizing Time for Knowledge Development,77,96
Participating in an online quiz,Utilizing Time for Knowledge Development,96,24
Online shopping,Utilizing Time for Knowledge Development,10,72
Playing online crossword puzzles,Utilizing Time for Knowledge Development,89,92
Participating in an online quiz,Wasting Time,86,5
Reviewing course lecture slides,Wasting Time,88,9
Listening to an audiobook on a relevant topic,Wasting Time,45,5
Scrolling through social media feeds,Utilizing Time for Knowledge Development,60,23
Reading a scientific research paper,Wasting Time,94,90
Online shopping,Utilizing Time for Knowledge Development,50,43
Coding a personal project,Wasting Time,85,9
Participating in an online quiz,Utilizing Time for Knowledge Development,79,21
Reviewing course lecture slides,Utilizing Time for Knowledge Development,56,96
Online shopping,Utilizing Time for Knowledge Development,112,54
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,49,21
Reviewing course lecture slides,Utilizing Time for Knowledge Development,73,87
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,6,81
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,67,22
Checking email,Utilizing Time for Knowledge Development,33,65
Participating in an online quiz,Wasting Time,49,20
Scrolling through social media feeds,Utilizing Time for Knowledge Development,12,68
Taking notes from a lecture video,Wasting Time,65,12
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,74,82
Scrolling through social media feeds,Utilizing Time for Knowledge Development,79,100
Watching cat videos on YouTube,Wasting Time,83,61
Checking email,Utilizing Time for Knowledge Development,118,82
Coding a personal project,Utilizing Time for Knowledge Development,101,23
Reviewing course lecture slides,Utilizing Time for Knowledge Development,31,90
Coding a personal project,Utilizing Time for Knowledge Development,36,96
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,17,36
Online shopping,Utilizing Time for Knowledge Development,49,22
Playing online crossword puzzles,Utilizing Time for Knowledge Development,27,11
Playing online crossword puzzles,Wasting Time,75,68
Solving programming exercises,Utilizing Time for Knowledge Development,65,59
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,75,7
Listening to an audiobook on a relevant topic,Wasting Time,105,20
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,61,39
Solving programming exercises,Utilizing Time for Knowledge Development,22,98
Reading a scientific research paper,Utilizing Time for Knowledge Development,34,12
Solving programming exercises,Wasting Time,49,2
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,5,91
Online shopping,Utilizing Time for Knowledge Development,66,23
Reviewing course lecture slides,Utilizing Time for Knowledge Development,119,28
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,13,81
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,14,9
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,19,18
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,82,76
Playing online crossword puzzles,Wasting Time,16,79
Coding a personal project,Utilizing Time for Knowledge Development,59,64
Coding a personal project,Utilizing Time for Knowledge Development,41,62
Playing online crossword puzzles,Wasting Time,83,32
Checking email,Utilizing Time for Knowledge Development,59,65
Reading a scientific research paper,Utilizing Time for Knowledge Development,9,49
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,109,10
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,91,19
Coding a personal project,Utilizing Time for Knowledge Development,72,86
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,99,83
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,75,69
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,54,67
Participating in a group discussion on the course forum,Wasting Time,55,43
Watching TV shows,Utilizing Time for Knowledge Development,118,30
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,14,2
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,78,81
Online shopping,Utilizing Time for Knowledge Development,18,56
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,10,35
Participating in a group discussion on the course forum,Wasting Time,69,89
Watching cat videos on YouTube,Wasting Time,98,25
Reviewing course lecture slides,Utilizing Time for Knowledge Development,24,51
Reading a scientific research paper,Utilizing Time for Knowledge Development,81,16
Reviewing course lecture slides,Wasting Time,14,90
Solving programming exercises,Wasting Time,67,73
Watching TV shows,Wasting Time,69,7
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,83,65
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,33,52
Listening to an audiobook on a relevant topic,Wasting Time,28,10
Scrolling through social media feeds,Utilizing Time for Knowledge Development,68,9
Taking notes from a lecture video,Utilizing Time for Knowledge Development,53,23
Watching cat videos on YouTube,Wasting Time,5,55
Reviewing course lecture slides,Utilizing Time for Knowledge Development,69,47
Watching TV shows,Utilizing Time for Knowledge Development,65,59
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,66,67
Taking notes from a lecture video,Wasting Time,120,37
Reviewing course lecture slides,Utilizing Time for Knowledge Development,112,71
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,67,46
Coding a personal project,Utilizing Time for Knowledge Development,57,90
Checking email,Utilizing Time for Knowledge Development,101,40
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,48,65
Playing online crossword puzzles,Utilizing Time for Knowledge Development,106,77
Playing online crossword puzzles,Wasting Time,43,64
Watching Khan Academy math tutorial,Wasting Time,8,48
Participating in a group discussion on the course forum,Wasting Time,12,49
Reviewing course lecture slides,Utilizing Time for Knowledge Development,94,40
Watching TV shows,Wasting Time,116,14
Taking notes from a lecture video,Wasting Time,114,66
Chatting with friends on messaging apps,Wasting Time,42,91
Checking email,Wasting Time,39,91
Taking notes from a lecture video,Utilizing Time for Knowledge Development,7,25
Scrolling through social media feeds,Wasting Time,90,69
Coding a personal project,Wasting Time,27,65
Playing online crossword puzzles,Utilizing Time for Knowledge Development,23,43
Solving programming exercises,Utilizing Time for Knowledge Development,77,1
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,94,55
Chatting with friends on messaging apps,Wasting Time,111,34
Online shopping,Utilizing Time for Knowledge Development,113,58
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,113,10
Playing online crossword puzzles,Utilizing Time for Knowledge Development,71,65
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,63,15
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,18,17
Solving programming exercises,Utilizing Time for Knowledge Development,92,34
Taking notes from a lecture video,Utilizing Time for Knowledge Development,16,96
Playing online crossword puzzles,Utilizing Time for Knowledge Development,110,27
Playing online crossword puzzles,Utilizing Time for Knowledge Development,76,21
Participating in an online quiz,Utilizing Time for Knowledge Development,118,29
Scrolling through social media feeds,Wasting Time,93,65
Reviewing course lecture slides,Wasting Time,66,82
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,48,20
Coding a personal project,Utilizing Time for Knowledge Development,69,74
Participating in an online quiz,Wasting Time,107,51
Listening to an audiobook on a relevant topic,Wasting Time,33,75
Reading a scientific research paper,Utilizing Time for Knowledge Development,115,93
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,92,48
Reading a scientific research paper,Utilizing Time for Knowledge Development,117,91
Chatting with friends on messaging apps,Wasting Time,50,8
Reviewing course lecture slides,Utilizing Time for Knowledge Development,56,45
Participating in a group discussion on the course forum,Wasting Time,116,9
Listening to an audiobook on a relevant topic,Wasting Time,97,47
Watching cat videos on YouTube,Wasting Time,24,10
Participating in an online quiz,Utilizing Time for Knowledge Development,59,73
Playing a video game,Utilizing Time for Knowledge Development,30,81
Scrolling through social media feeds,Utilizing Time for Knowledge Development,81,27
Coding a personal project,Wasting Time,14,98
Watching TV shows,Utilizing Time for Knowledge Development,55,78
Playing a video game,Wasting Time,22,93
Checking email,Utilizing Time for Knowledge Development,40,23
Taking notes from a lecture video,Utilizing Time for Knowledge Development,25,67
Watching TV shows,Utilizing Time for Knowledge Development,49,27
Reviewing course lecture slides,Wasting Time,107,67
Taking notes from a lecture video,Wasting Time,71,66
Taking notes from a lecture video,Utilizing Time for Knowledge Development,67,25
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,90,56
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,76,68
Watching TV shows,Utilizing Time for Knowledge Development,18,100
Taking notes from a lecture video,Wasting Time,63,62
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,7,17
Taking notes from a lecture video,Wasting Time,38,87
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,5,14
Reading a scientific research paper,Utilizing Time for Knowledge Development,53,71
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,33,77
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,102,3
Participating in an online quiz,Wasting Time,117,87
Scrolling through social media feeds,Utilizing Time for Knowledge Development,79,47
Scrolling through social media feeds,Wasting Time,25,21
Playing a video game,Wasting Time,26,94
Participating in a group discussion on the course forum,Wasting Time,108,5
Checking email,Utilizing Time for Knowledge Development,12,89
Scrolling through social media feeds,Utilizing Time for Knowledge Development,95,68
Coding a personal project,Wasting Time,94,35
Solving programming exercises,Wasting Time,104,7
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,28,93
Reviewing course lecture slides,Wasting Time,89,83
Online shopping,Utilizing Time for Knowledge Development,108,17
Checking email,Utilizing Time for Knowledge Development,107,62
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,44,91
Chatting with friends on messaging apps,Wasting Time,20,74
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,80,90
Online shopping,Wasting Time,58,82
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,37,15
Reviewing course lecture slides,Utilizing Time for Knowledge Development,28,97
Playing online crossword puzzles,Utilizing Time for Knowledge Development,6,41
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,49,98
Playing a video game,Wasting Time,41,31
Solving programming exercises,Wasting Time,78,25
Checking email,Utilizing Time for Knowledge Development,62,47
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,63,4
Browsing Wikipedia for history facts,Wasting Time,33,3
Writing an essay for a class assignment,Wasting Time,66,84
Reviewing course lecture slides,Utilizing Time for Knowledge Development,15,7
Watching TV shows,Utilizing Time for Knowledge Development,107,81
Taking notes from a lecture video,Wasting Time,46,10
Playing a video game,Utilizing Time for Knowledge Development,23,51
Checking email,Wasting Time,90,20
Checking email,Wasting Time,36,8
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,66,45
Participating in an online quiz,Wasting Time,91,32
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,24,92
Playing a video game,Utilizing Time for Knowledge Development,21,20
Coding a personal project,Utilizing Time for Knowledge Development,39,89
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,22,12
Participating in an online quiz,Utilizing Time for Knowledge Development,107,66
Reading a scientific research paper,Wasting Time,42,89
Participating in an online quiz,Wasting Time,62,96
Checking email,Utilizing Time for Knowledge Development,48,86
Coding a personal project,Utilizing Time for Knowledge Development,16,61
Playing a video game,Utilizing Time for Knowledge Development,31,70
Coding a personal project,Utilizing Time for Knowledge Development,77,25
Taking notes from a lecture video,Wasting Time,92,64
Scrolling through social media feeds,Wasting Time,85,67
Reviewing course lecture slides,Wasting Time,24,63
Reading a scientific research paper,Utilizing Time for Knowledge Development,55,41
Participating in a group discussion on the course forum,Wasting Time,55,98
Reviewing course lecture slides,Utilizing Time for Knowledge Development,62,26
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,7,49
Participating in an online quiz,Utilizing Time for Knowledge Development,5,30
Participating in an online quiz,Utilizing Time for Knowledge Development,9,58
Checking email,Utilizing Time for Knowledge Development,86,9
Checking email,Wasting Time,94,52
Scrolling through social media feeds,Utilizing Time for Knowledge Development,8,77
Taking notes from a lecture video,Utilizing Time for Knowledge Development,64,17
Participating in a group discussion on the course forum,Wasting Time,95,10
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,94,56
Reviewing course lecture slides,Utilizing Time for Knowledge Development,28,80
Scrolling through social media feeds,Utilizing Time for Knowledge Development,117,1
Scrolling through social media feeds,Utilizing Time for Knowledge Development,118,100
Reading a scientific research paper,Wasting Time,94,77
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,109,34
Watching TV shows,Wasting Time,100,72
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,55,68
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,88,12
Watching Khan Academy math tutorial,Wasting Time,104,80
Reading a scientific research paper,Utilizing Time for Knowledge Development,51,30
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,37,60
Watching TV shows,Utilizing Time for Knowledge Development,57,33
Watching cat videos on YouTube,Wasting Time,85,61
Reviewing course lecture slides,Utilizing Time for Knowledge Development,69,93
Playing a video game,Utilizing Time for Knowledge Development,10,41
Chatting with friends on messaging apps,Wasting Time,59,7
Coding a personal project,Wasting Time,80,49
Chatting with friends on messaging apps,Wasting Time,120,94
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,36,23
Playing a video game,Utilizing Time for Knowledge Development,96,10
Watching cat videos on YouTube,Wasting Time,34,67
Solving programming exercises,Wasting Time,15,61
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,36,50
Reading a scientific research paper,Utilizing Time for Knowledge Development,105,93
Participating in an online quiz,Utilizing Time for Knowledge Development,112,2
Scrolling through social media feeds,Utilizing Time for Knowledge Development,58,25
Listening to an audiobook on a relevant topic,Wasting Time,59,60
Coding a personal project,Wasting Time,45,66
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,51,52
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,57,36
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,48,8
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,69,89
Online shopping,Wasting Time,6,22
Playing a video game,Utilizing Time for Knowledge Development,23,85
Solving programming exercises,Utilizing Time for Knowledge Development,80,70
Playing online crossword puzzles,Wasting Time,22,53
Chatting with friends on messaging apps,Wasting Time,51,91
Checking email,Wasting Time,105,45
Playing a video game,Utilizing Time for Knowledge Development,45,22
Reading a scientific research paper,Wasting Time,93,20
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,41,28
Participating in an online quiz,Utilizing Time for Knowledge Development,29,48
